date,time,parkingAreaId,plateNumber,country,confidence,angle,image,status
2025-06-09,11-03-19,6843a488a78f7728a339dd75,D1Y1B6,AUS,91,35,2025-06-09_11-03-19_D1Y1B6.jpg,LEAVING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,L5C1A3,AUS,99,116,2025-06-09_11-03-19_L5C1A3.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,V4G5F2,AUS,93,197,2025-06-09_11-03-19_V4G5F2.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,W6V7Z8,AUS,96,329,2025-06-09_11-03-19_W6V7Z8.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,R0W9L8,AUS,80,156,2025-06-09_11-03-19_R0W9L8.jpg,LEAVING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,W7E4R7,AUS,100,342,2025-06-09_11-03-19_W7E4R7.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,O9N9S9,AUS,85,171,2025-06-09_11-03-19_O9N9S9.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,P1M2Y7,AUS,84,140,2025-06-09_11-03-19_P1M2Y7.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,N9K0P8,AUS,90,38,2025-06-09_11-03-19_N9K0P8.jpg,APPROACHING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,G8S7D9,AUS,91,106,2025-06-09_11-03-19_G8S7D9.jpg,LEAVING
2025-06-09,11-03-19,6843a488a78f7728a339dd75,A5W4G8,AUS,90,6,2025-06-09_11-03-19_A5W4G8.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,A2W4X8,AUS,97,59,2025-06-09_11-03-20_A2W4X8.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,S6R1G3,AUS,95,336,2025-06-09_11-03-20_S6R1G3.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,R0L2D5,AUS,93,156,2025-06-09_11-03-20_R0L2D5.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,N1H5N1,AUS,86,255,2025-06-09_11-03-20_N1H5N1.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,W6S5K3,AUS,84,301,2025-06-09_11-03-20_W6S5K3.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,Z7D6H9,AUS,91,145,2025-06-09_11-03-20_Z7D6H9.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,F2R7E2,AUS,95,321,2025-06-09_11-03-20_F2R7E2.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,W1B2Y2,AUS,90,200,2025-06-09_11-03-20_W1B2Y2.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,F9R6P7,AUS,90,91,2025-06-09_11-03-20_F9R6P7.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,A3R1U4,AUS,93,148,2025-06-09_11-03-20_A3R1U4.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,Z6S9Z8,AUS,86,63,2025-06-09_11-03-20_Z6S9Z8.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,G2V4E9,AUS,100,271,2025-06-09_11-03-20_G2V4E9.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,B7S3T2,AUS,99,241,2025-06-09_11-03-20_B7S3T2.jpg,LEAVING
2025-06-09,11-03-20,6843a488a78f7728a339dd75,O7T2N7,AUS,85,148,2025-06-09_11-03-20_O7T2N7.jpg,LEAVING
2025-06-09,11-03-21,6843a488a78f7728a339dd75,A5O1L1,AUS,85,195,2025-06-09_11-03-21_A5O1L1.jpg,LEAVING
2025-06-09,11-03-21,6843a488a78f7728a339dd75,T6T8G9,AUS,99,239,2025-06-09_11-03-21_T6T8G9.jpg,LEAVING
